Analytical Openings	OST_AnalyticalOpening
Analytical Panels	OST_AnalyticalPanel
Analytical Members	OST_AnalyticalMember
Analytical Links	OST_LinksAnalytical
Analytical Nodes	OST_AnalyticalNodes
Analytical Foundation Slabs	OST_FoundationSlabAnalytical
Analytical Wall Foundations	OST_WallFoundationAnalytical
Analytical Isolated Foundations	OST_IsolatedFoundationAnalytical
Analytical Walls	OST_WallAnalytical
Analytical Floors	OST_FloorAnalytical
Analytical Columns	OST_ColumnAnalytical
Analytical Braces	OST_BraceAnalytical
Analytical Beams	OST_BeamAnalytical
Structural Rebar Couplers	OST_Coupler
Modifiers	OST_StructConnectionModifiers
Welds	OST_StructConnectionWelds
Holes	OST_StructConnectionHoles
Shear Studs	OST_StructConnectionShearStuds
Others	OST_StructConnectionOthers
Bolts	OST_StructConnectionBolts
Anchors	OST_StructConnectionAnchors
Plates	OST_StructConnectionPlates
Profiles	OST_StructConnectionProfiles
Structural Connections	OST_StructConnections
Fabric Wire	OST_FabricReinforcementWire
Structural Fabric Areas	OST_FabricAreas
Structural Fabric Reinforcement	OST_FabricReinforcement
Rebar Shape	OST_RebarShape
Structural Path Reinforcement	OST_PathRein
Structural Area Reinforcement	OST_AreaRein
Structural Rebar	OST_Rebar
Plumbing Equipment	OST_PlumbingEquipment
Mechanical Control Devices	OST_MechanicalControlDevices
Insulation	OST_FabricationPipeworkInsulation
Lining	OST_FabricationDuctworkLining
MEP Fabrication Containment	OST_FabricationContainment
MEP Fabrication Pipework	OST_FabricationPipework
MEP Fabrication Hangers	OST_FabricationHangers
Insulation	OST_FabricationDuctworkInsulation
MEP Fabrication Ductwork	OST_FabricationDuctwork
Analytical Surfaces	OST_AnalyticSurfaces
Analytical Spaces	OST_AnalyticSpaces
Pipe Placeholders	OST_PlaceHolderPipes
Duct Placeholders	OST_PlaceHolderDucts
Cable Tray Runs	OST_CableTrayRun
Conduit Runs	OST_ConduitRun
Conduits	OST_Conduit
Cable Trays	OST_CableTray
Conduit Fittings	OST_ConduitFitting
Cable Tray Fittings	OST_CableTrayFitting
Duct Linings	OST_DuctLinings
Duct Insulations	OST_DuctInsulations
Pipe Insulations	OST_PipeInsulations
HVAC Zones	OST_HVAC_Zones
Switch System	OST_SwitchSystem
Sprinklers	OST_Sprinklers
Lighting Devices	OST_LightingDevices
Fire Alarm Devices	OST_FireAlarmDevices
